locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
SAOUHSC_00001,SAOUHSC_00001,0,517,1878,1,15,0.00293685756240822,1362,4,chromosomal replication initiator protein DnaA
SAOUHSC_00002,SAOUHSC_00002,0,2156,3289,1,4,0.0017636684303351,1134,2,DNA polymerase III, beta subunit
SAOUHSC_00003,SAOUHSC_00003,0,3670,3915,1,2,0.00813008130081301,246,2,conserved hypothetical protein
SAOUHSC_00004,SAOUHSC_00004,0,3912,5024,1,17,0.00988319856244385,1113,11,DNA replication and repair protein, putative
SAOUHSC_00005,SAOUHSC_00005,0,5034,6968,1,2,0.00103359173126615,1935,2,DNA gyrase, B subunit
SAOUHSC_00006,SAOUHSC_00006,0,7005,9668,1,33,0.003003003003003,2664,8,DNA gyrase, A subunit
SAOUHSC_00007,SAOUHSC_00007,0,9755,10456,-1,179,0.037037037037037,702,26,conserved hypothetical protein
SAOUHSC_00008,SAOUHSC_00008,0,10893,12407,1,525,0.0396039603960396,1515,60,histidine ammonia-lyase
SAOUHSC_00009,SAOUHSC_00009,0,12786,14072,1,8,0.00233100233100233,1287,3,seryl-tRNA synthetase
SAOUHSC_00010,SAOUHSC_00010,0,14722,15417,1,259,0.0560344827586207,696,39,conserved hypothetical protein
SAOUHSC_00012,SAOUHSC_00012,0,15414,15743,1,101,0.0575757575757576,330,19,conserved hypothetical protein
SAOUHSC_00013,SAOUHSC_00013,0,16106,17074,1,188,0.04437564499484,969,43,conserved hypothetical protein
SAOUHSC_00014,SAOUHSC_00014,0,17365,18303,1,472,0.0553780617678381,939,52,conserved hypothetical protein
SAOUHSC_00015,SAOUHSC_00015,0,18318,20285,1,17,0.00660569105691057,1968,13,conserved hypothetical protein
SAOUHSC_00017,SAOUHSC_00017,0,20282,20734,1,61,0.022075055187638,453,10,ribosomal protein L9
SAOUHSC_00018,SAOUHSC_00018,0,20766,22166,1,7,0.00214132762312634,1401,3,replicative DNA helicase
SAOUHSC_00019,SAOUHSC_00019,0,22444,23727,1,414,0.0459501557632399,1284,59,adenylosuccinate synthetase
SAOUHSC_T00018,SAOUHSC_T00018,0,24157,24231,1,0,0,75,0,
SAOUHSC_T00011,SAOUHSC_T00011,0,24239,24311,1,7,0.0273972602739726,73,2,
SAOUHSC_00020,SAOUHSC_00020,0,24931,25632,1,0,0,702,0,two-component response regulator, putative
SAOUHSC_00021,SAOUHSC_00021,0,25645,27471,1,0,0,1827,0,sensory box histidine kinase VicK, putative
SAOUHSC_00022,SAOUHSC_00022,0,27515,28798,1,399,0.0459501557632399,1284,59,conserved hypothetical protein
SAOUHSC_00023,SAOUHSC_00023,0,28799,29587,1,185,0.0430925221799747,789,34,conserved hypothetical protein
SAOUHSC_00024,SAOUHSC_00024,0,29977,30777,1,376,0.0411985018726592,801,33,conserved hypothetical protein
