Valentino Essential Genes,Chaudhuri Essential Genes,Santiago Essential Genes,,,,
SAOUHSC_00001-dnaA,SAOUHSC_00001-dnaA,SAOUHSC_00001-dnaA,,,,
SAOUHSC_00002,SAOUHSC_00002,SAOUHSC_00005,,,,
SAOUHSC_00005,SAOUHSC_00003,SAOUHSC_00006,,,,
SAOUHSC_00006,SAOUHSC_00005,SAOUHSC_00009,,,,
SAOUHSC_00009,SAOUHSC_00006,SAOUHSC_00015,,,,
SAOUHSC_00015,SAOUHSC_00009,SAOUHSC_00017-rplI,,,,
SAOUHSC_00017-rplI,SAOUHSC_00015,SAOUHSC_00018,,,,
SAOUHSC_00018,SAOUHSC_00018,SAOUHSC_00021,,,,
SAOUHSC_00020,SAOUHSC_00020,SAOUHSC_00226,,,,
SAOUHSC_00021,SAOUHSC_00021,SAOUHSC_00349,,,,
SAOUHSC_00022-yycH,SAOUHSC_00223-tarKp,SAOUHSC_00350-rpsR,,,,
SAOUHSC_00023-yycI,SAOUHSC_00225-ispD,SAOUHSC_00374,,,,
SAOUHSC_00038,SAOUHSC_00226,SAOUHSC_00375-guaA,,,,
SAOUHSC_00100,SAOUHSC_00227,SAOUHSC_00413,,,,
SAOUHSC_00112,SAOUHSC_00336,SAOUHSC_00442,,,,
SAOUHSC_00223-tarKp,SAOUHSC_00345,SAOUHSC_00444,,,,
SAOUHSC_00225-ispD,SAOUHSC_00348-rpsF,SAOUHSC_00445-recR,,,,
SAOUHSC_00226,SAOUHSC_00349,SAOUHSC_00451-tmk,,,,
SAOUHSC_00227,SAOUHSC_00350-rpsR,SAOUHSC_00454,,,,
SAOUHSC_00275,SAOUHSC_00375-guaA,SAOUHSC_00461,,,,
SAOUHSC_00345,SAOUHSC_00442,SAOUHSC_00471-glmU,,,,
SAOUHSC_00348-rpsF,SAOUHSC_00444,SAOUHSC_00472,,,,
SAOUHSC_00349,SAOUHSC_00451-tmk,SAOUHSC_00481,,,,
SAOUHSC_00374,SAOUHSC_00454,SAOUHSC_00482,,,,
SAOUHSC_00375-guaA,SAOUHSC_00461,SAOUHSC_00484,,,,
SAOUHSC_00396,SAOUHSC_00471-glmU,SAOUHSC_00485,,,,
SAOUHSC_00442,SAOUHSC_00472,SAOUHSC_00486-ftsH,,,,
SAOUHSC_00444,SAOUHSC_00474,SAOUHSC_00490,,,,
SAOUHSC_00451-tmk,SAOUHSC_00475,SAOUHSC_00491,,,,
SAOUHSC_00454,SAOUHSC_00482,SAOUHSC_00493-lysS,,,,
SAOUHSC_00461,SAOUHSC_00484,SAOUHSC_00510,,,,
SAOUHSC_00471-glmU,SAOUHSC_00489,SAOUHSC_00511-cysS,,,,
SAOUHSC_00472,SAOUHSC_00490,SAOUHSC_00518-rplK,,,,
SAOUHSC_00473,SAOUHSC_00491,SAOUHSC_00519-rplA,,,,
SAOUHSC_00475,SAOUHSC_00493-lysS,SAOUHSC_00520-rplJ,,,,
SAOUHSC_00481,SAOUHSC_00509-gltX,SAOUHSC_00521-rplL,,,,
SAOUHSC_00482,SAOUHSC_00510,SAOUHSC_00524-rpoB,,,,
SAOUHSC_00484,SAOUHSC_00511-cysS,SAOUHSC_00525,,,,
SAOUHSC_00486-ftsH,SAOUHSC_00516-secE,SAOUHSC_00527-rpsL,,,,
SAOUHSC_00489,SAOUHSC_00518-rplK,SAOUHSC_00528,,,,
SAOUHSC_00490,SAOUHSC_00519-rplA,SAOUHSC_00529-fusA,,,,
SAOUHSC_00491,SAOUHSC_00520-rplJ,SAOUHSC_00530-tuf,,,,
SAOUHSC_00493-lysS,SAOUHSC_00521-rplL,SAOUHSC_00574-eutD,,,,
SAOUHSC_00509-gltX,SAOUHSC_00524-rpoB,SAOUHSC_00575,,,,
SAOUHSC_00510,SAOUHSC_00525,SAOUHSC_00578,,,,
SAOUHSC_00511-cysS,SAOUHSC_00527-rpsL,SAOUHSC_00579,,,,
SAOUHSC_00516-secE,SAOUHSC_00528,SAOUHSC_00610,,,,
SAOUHSC_00518-rplK,SAOUHSC_00529-fusA,SAOUHSC_00611-argS,,,,
SAOUHSC_00519-rplA,SAOUHSC_00530-tuf,SAOUHSC_00641-tarB,,,,
SAOUHSC_00520-rplJ,SAOUHSC_00549,SAOUHSC_00643-tarH,,,,
SAOUHSC_00521-rplL,SAOUHSC_00574-eutD,SAOUHSC_00645-tarD,,,,
SAOUHSC_00524-rpoB,SAOUHSC_00575,SAOUHSC_00742,,,,
SAOUHSC_00525,SAOUHSC_00577,SAOUHSC_00743-nrdF,,,,
SAOUHSC_00526,SAOUHSC_00578,SAOUHSC_00752-murB,,,,
