locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
BW25113_0001,thrL,0,190,255,1,428,0.5,66,33,thr operon leader peptide
BW25113_0002,thrA,0,337,2799,1,9758,0.307754770604953,2463,758,Bifunctional aspartokinase/homoserine dehydrogenase 1
BW25113_0003,thrB,0,2801,3733,1,4109,0.353697749196141,933,330,homoserine kinase
BW25113_0004,thrC,0,3734,5020,1,5091,0.278166278166278,1287,358,L-threonine synthase
BW25113_0005,yaaX,0,5234,5530,1,1458,0.326599326599327,297,97,DUF2502 family putative periplasmic protein
BW25113_0006,yaaA,0,5683,6459,-1,3178,0.275418275418275,777,214,peroxide resistance protein, lowers intracellular iron
BW25113_0007,yaaJ,0,6529,7959,-1,5830,0.312368972746331,1431,447,putative transporter
BW25113_0008,talB,0,8238,9191,1,4830,0.333333333333333,954,318,transaldolase B
BW25113_0009,mog,0,9306,9893,1,2521,0.30952380952381,588,182,molybdochelatase incorporating molybdenum into molybdopterin
BW25113_0010,satP,0,9928,10494,-1,3072,0.320987654320988,567,182,succinate-acetate transporter
BW25113_0011,yaaW,0,10643,11356,-1,2634,0.299719887955182,714,214,UPF0174 family protein
BW25113_0013,yaaI,0,11382,11786,-1,2798,0.330864197530864,405,134,UPF0412 family protein
BW25113_0015,dnaJ,0,14168,15298,1,4583,0.290893015030946,1131,329,chaperone Hsp40, DnaK co-chaperone
BW25113_0016,insL1,0,15445,16557,1,3214,0.353998203054807,1113,394,IS186 transposase
BW25113_0018,mokC,0,16751,16960,-1,3592,0.566666666666667,210,119,regulatory protein for HokC, overlaps CDS of hokC
BW25113_4412,hokC,0,16751,16903,-1,1176,0.457516339869281,153,70,toxic membrane protein, small
BW25113_4413,sokC,0,16952,17006,1,1255,0.672727272727273,55,37,
BW25113_0019,nhaA,0,17489,18655,1,5441,0.347043701799486,1167,405,sodium-proton antiporter
BW25113_0020,nhaR,0,18715,19620,1,4786,0.342163355408389,906,310,transcriptional activator of nhaA
BW25113_0021,insB1,0,19811,20314,-1,2821,0.476190476190476,504,240,IS1 transposase B
BW25113_0022,insA,0,20233,20508,-1,1274,0.431159420289855,276,119,IS1 repressor TnpA
BW25113_0024,yaaY,0,21181,21399,1,365,0.159817351598174,219,35,uncharacterized protein
BW25113_0028,fkpB,0,25826,26275,1,923,0.204444444444444,450,92,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)
BW25113_0030,rihC,0,27293,28207,1,3523,0.302732240437158,915,277,ribonucleoside hydrolase 3
BW25113_0032,carA,0,29651,30799,1,2946,0.228024369016536,1149,262,carbamoyl phosphate synthetase small subunit, glutamine amidotransferase
BW25113_0033,carB,0,30817,34038,1,13567,0.278398510242086,3222,897,carbamoyl-phosphate synthase large subunit
BW25113_0034,caiF,0,34300,34695,1,9970,0.712121212121212,396,282,cai operon transcriptional activator
BW25113_0035,caiE,0,34781,35371,-1,2537,0.316412859560068,591,187,stimulator of CaiD and CaiB enzyme activities
BW25113_0036,caiD,0,35377,36162,-1,4764,0.33206106870229,786,261,carnitinyl-CoA dehydratase
BW25113_0037,caiC,0,36271,37824,-1,11035,0.353281853281853,1554,549,putative crotonobetaine/carnitine-CoA ligase
BW25113_0038,caiB,0,37898,39115,-1,4994,0.276683087027915,1218,337,crotonobetainyl CoA:carnitine CoA transferase
BW25113_0039,caiA,0,39244,40386,-1,3759,0.26071741032371,1143,298,crotonobetaine reductase subunit II, FAD-binding
BW25113_0040,caiT,0,40417,41931,-1,12270,0.347854785478548,1515,527,putative transporter
BW25113_0041,fixA,0,42403,43173,1,4870,0.35408560311284,771,273,anaerobic carnitine reduction putative electron transfer flavoprotein subunit
BW25113_0042,fixB,0,43188,44129,1,3155,0.232484076433121,942,219,putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein
BW25113_0043,fixC,0,44180,45466,1,3308,0.230769230769231,1287,297,putative oxidoreductase
BW25113_0044,fixX,0,45463,45750,1,926,0.253472222222222,288,73,putative 4Fe-4S ferredoxin-type protein
BW25113_0045,yaaU,0,45807,47138,1,4883,0.293543543543544,1332,391,putative transporter
BW25113_0046,kefF,0,47246,47776,1,2968,0.335216572504708,531,178,potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent
BW25113_0047,kefC,0,47769,49631,1,5720,0.260332796564681,1863,485,potassium:proton antiporter
BW25113_0049,apaH,0,50380,51222,-1,2464,0.265717674970344,843,224,diadenosine tetraphosphatase
BW25113_0050,apaG,0,51229,51606,-1,1890,0.351851851851852,378,133,protein associated with Co2+ and Mg2+ efflux
BW25113_0051,rsmA,0,51609,52430,-1,1622,0.248175182481752,822,204,16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent
BW25113_0052,pdxA,0,52427,53416,-1,3989,0.308080808080808,990,305,4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent
BW25113_0053,surA,0,53416,54702,-1,3240,0.248640248640249,1287,320,peptidyl-prolyl cis-trans isomerase (PPIase)
BW25113_0055,djlA,0,57364,58179,1,4484,0.370098039215686,816,302,membrane-anchored DnaK co-chaperone, DNA-binding protein
BW25113_4659,yabP,0,58474,59279,1,51626,0.715880893300248,806,577,pseudogene
BW25113_0058,rluA,0,59687,60346,-1,4047,0.342424242424242,660,226,dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent
BW25113_0059,rapA,0,60358,63264,-1,14230,0.321293429652563,2907,934,RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase
BW25113_0060,polB,0,63429,65780,-1,9838,0.27593537414966,2352,649,DNA polymerase II
BW25113_0061,araD,0,65855,66532,-1,2365,0.29646017699115,678,201,pseudogene
BW25113_0064,araC,0,66874,67752,1,2599,0.265073947667804,879,233,ara regulon transcriptional activator; autorepressor
BW25113_0065,yabI,0,67838,68602,1,2592,0.273202614379085,765,209,DedA family inner membrane protein
BW25113_0066,thiQ,0,68716,69414,-1,2713,0.293276108726753,699,205,thiamine, thiamine pyrophosphate ABC transporter ATPase; ThiBPQ thiamine, thiamine pyrophosphate importer
BW25113_0067,thiP,0,69398,71008,-1,7352,0.315952824332713,1611,509,thiamine, thiamine pyrophosphate ABC transporter permease; ThiBPQ thiamine, thiamine pyrophosphate importer
BW25113_0068,thiB,0,70984,71967,-1,3422,0.239837398373984,984,236,thiamine-, thiamine pyrophosphate-, thiamine monophosphate-binding ABC transporter periplasmic protein; ThiBPQ thiamine, thiamine pyrophosphate importer
BW25113_0069,sgrR,0,72131,73786,-1,6976,0.284420289855072,1656,471,transcriptional DNA-binding transcriptional activator of sgrS sRNA
BW25113_4577,sgrS,0,73854,74080,1,945,0.361233480176211,227,82,
BW25113_4662,sgrT,0,73875,74006,1,408,0.371212121212121,132,49,inhibitor of glucose uptake
BW25113_0070,setA,0,74108,75286,1,5461,0.353689567430025,1179,417,broad specificity sugar efflux system
BW25113_0071,leuD,0,75335,75940,-1,3098,0.285478547854785,606,173,3-isopropylmalate dehydratase small subunit
BW25113_0072,leuC,0,75951,77351,-1,5984,0.259814418272662,1401,364,3-isopropylmalate dehydratase large subunit
BW25113_0073,leuB,0,77354,78445,-1,4641,0.322344322344322,1092,352,3-isopropylmalate dehydrogenase, NAD(+)-dependent
BW25113_0074,leuA,0,78445,80016,-1,7418,0.320610687022901,1572,504,2-isopropylmalate synthase
BW25113_0075,leuL,0,80109,80195,-1,5821,0.885057471264368,87,77,leu operon leader peptide
BW25113_0076,leuO,0,80855,81799,1,26231,0.749206349206349,945,708,global transcription factor
BW25113_0077,ilvI,0,82117,83841,1,10822,0.373333333333333,1725,644,acetolactate synthase 3 large subunit
BW25113_0078,ilvH,0,83844,84335,1,2841,0.323170731707317,492,159,acetolactate synthase 3, small subunit, valine-sensitive
BW25113_0080,cra,0,84515,85519,1,3689,0.30547263681592,1005,307,transcriptional repressor-activator for carbon metabolism
BW25113_0081,mraZ,0,86121,86579,1,1478,0.20479302832244,459,94,RsmH methytransferase inhibitor
BW25113_0082,rsmH,0,86581,87522,1,1100,0.151804670912951,942,143,16S rRNA m(4)C1402 methyltransferase, SAM-dependent
BW25113_0092,ddlB,0,98720,99640,1,1421,0.161780673181325,921,149,D-alanine:D-alanine ligase
BW25113_0097,secM,0,104192,104704,1,529,0.107212475633528,513,55,regulator of secA translation
BW25113_0099,mutT,0,107531,107920,1,1332,0.258974358974359,390,101,nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP
BW25113_0101,yacG,0,108136,108333,-1,371,0.191919191919192,198,38,DNA gyrase inhibitor
BW25113_0102,zapD,0,108343,109086,-1,3054,0.280913978494624,744,209,FtsZ stabilizer
BW25113_0104,guaC,0,109931,110974,1,3718,0.295977011494253,1044,309,GMP reductase
BW25113_0106,hofC,0,111009,112211,-1,5596,0.316708229426434,1203,381,assembly protein in type IV pilin biogenesis, transmembrane protein
BW25113_0107,hofB,0,112201,113586,-1,5051,0.282106782106782,1386,391,T2SE secretion family protein; P-loop ATPase superfamily protein
BW25113_0108,ppdD,0,113596,114036,-1,1703,0.324263038548753,441,143,putative prepilin peptidase-dependent pilin
BW25113_0109,nadC,0,114239,115132,-1,2590,0.253914988814318,894,227,quinolinate phosphoribosyltransferase
BW25113_0110,ampD,0,115220,115771,1,2281,0.315217391304348,552,174,1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase
BW25113_0111,ampE,0,115768,116622,1,3457,0.332163742690058,855,284,ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation
BW25113_0112,aroP,0,116665,118038,-1,7592,0.328238719068413,1374,451,aromatic amino acid transporter
BW25113_0113,pdhR,0,118579,119343,1,1332,0.163398692810458,765,125,pyruvate dehydrogenase complex repressor; autorepressor
BW25113_0117,yacH,0,125894,127747,-1,7829,0.297734627831715,1854,552,uncharacterized protein
BW25113_0118,acnB,0,128102,130699,1,1793,0.123171670515781,2598,320,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
BW25113_0119,yacL,0,130875,131237,1,1914,0.34435261707989,363,125,UPF0231 family protein
BW25113_0120,speD,0,131275,132069,-1,3557,0.29685534591195,795,236,S-adenosylmethionine decarboxylase
BW25113_0121,speE,0,132085,132951,-1,3601,0.305651672433679,867,265,spermidine synthase (putrescine aminopropyltransferase)
BW25113_0122,yacC,0,133057,133404,-1,1069,0.238505747126437,348,83,PulS_OutS family protein
BW25113_0123,cueO,0,133570,135120,1,5211,0.292069632495164,1551,453,multicopper oxidase (laccase)
BW25113_0124,gcd,0,135322,137712,-1,11364,0.298201589293183,2391,713,glucose dehydrogenase
BW25113_0125,hpt,0,137918,138454,1,1546,0.25512104283054,537,137,hypoxanthine phosphoribosyltransferase
BW25113_0127,yadG,0,139266,140192,1,2399,0.210355987055016,927,195,putative ABC superfamily transporter ATP-binding subunit
BW25113_0128,yadH,0,140189,140959,1,2328,0.289234760051881,771,223,inner membrane putative ABC superfamily transporter permease
BW25113_0129,yadI,0,141064,141504,1,1488,0.331065759637188,441,146,putative PTS Enzyme IIA
BW25113_0130,yadE,0,141568,142797,1,5010,0.298373983739837,1230,367,putative polysaccharide deacetylase lipoprotein
BW25113_0131,panD,0,142801,143181,-1,969,0.246719160104987,381,94,aspartate 1-decarboxylase
BW25113_0132,yadD,0,143455,144357,1,3843,0.290143964562569,903,262,transposase_31 family protein
BW25113_0133,panC,0,144431,145282,-1,2441,0.237089201877934,852,202,pantothenate synthetase
BW25113_0134,panB,0,145294,146088,-1,2970,0.283018867924528,795,225,3-methyl-2-oxobutanoate hydroxymethyltransferase
BW25113_0135,yadC,0,146202,147440,-1,22736,0.603712671509282,1239,748,putative fimbrial-like adhesin protein
BW25113_0136,yadK,0,147490,148086,-1,9883,0.569514237855946,597,340,putative fimbrial-like adhesin protein
BW25113_0137,yadL,0,148113,148718,-1,16693,0.693069306930693,606,420,putative fimbrial-like adhesin protein
BW25113_0138,yadM,0,148730,149299,-1,14685,0.66140350877193,570,377,putative fimbrial-like adhesin protein
BW25113_0139,htrE,0,149316,151913,-1,78782,0.696304849884527,2598,1809,putative outer membrane usher protein
BW25113_0140,yadV,0,151948,152688,-1,13800,0.616734143049933,741,457,putative periplasmic pilin chaperone
BW25113_0141,yadN,0,152786,153370,-1,12867,0.673504273504274,585,394,putative fimbrial-like adhesin protein
BW25113_0142,folK,0,153740,154219,-1,400,0.108333333333333,480,52,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase
BW25113_0143,pcnB,0,154216,155613,-1,2840,0.183118741058655,1398,256,poly(A) polymerase
BW25113_0144,gluQ,0,155673,156599,-1,3332,0.264293419633225,927,245,glutamyl-Q tRNA(Asp) synthetase
BW25113_0145,dksA,0,156636,157091,-1,961,0.201754385964912,456,92,transcriptional regulator of rRNA transcription, DnaK suppressor protein
BW25113_0146,sfsA,0,157269,157973,-1,4106,0.313475177304965,705,221,sugar fermentation stimulation protein A
BW25113_0147,ligT,0,157988,158518,-1,2013,0.246704331450094,531,131,2'-5' RNA ligase
BW25113_0148,hrpB,0,158592,161021,1,10445,0.282716049382716,2430,687,putative ATP-dependent helicase
BW25113_0149,mrcB,0,161217,163751,1,8432,0.273372781065089,2535,693,fused glycosyl transferase and transpeptidase
BW25113_0150,fhuA,0,163971,166214,1,9299,0.305704099821747,2244,686,ferrichrome outer membrane transporter
BW25113_0151,fhuC,0,166265,167062,1,2946,0.271929824561404,798,217,iron-hydroxamate transporter subunit
BW25113_0152,fhuD,0,167062,167952,1,3174,0.298540965207632,891,266,iron-hydroxamate transporter subunit
BW25113_0153,fhuB,0,167949,169931,1,6547,0.278870398386283,1983,553,fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components
BW25113_0155,clcA,0,171594,173015,1,6450,0.30309423347398,1422,431,H(+)/Cl(-) exchange transporter
BW25113_0157,yadS,0,173488,174111,-1,1792,0.232371794871795,624,145,UPF0126 family inner membrane protein
BW25113_0158,btuF,0,174149,174949,-1,2575,0.259675405742821,801,208,vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily
BW25113_0159,mtn,0,174942,175640,-1,296,0.0886981402002861,699,62,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
BW25113_0160,dgt,0,175724,177241,1,31843,0.555994729907773,1518,844,deoxyguanosine triphosphate triphosphohydrolase
BW25113_0161,degP,0,177371,178795,1,10456,0.341754385964912,1425,487,serine endoprotease (protease Do), membrane-associated
BW25113_0162,cdaR,0,178950,180107,1,4831,0.29706390328152,1158,344,carbohydrate diacid regulon transcriptional regulator; autoregulator
BW25113_0163,yaeH,0,180196,180582,-1,1127,0.224806201550388,387,87,UPF0325 family protein
BW25113_0164,yaeI,0,180744,181556,-1,3022,0.302583025830258,813,246,phosphodiesterase with model substrate bis-pNPP
BW25113_0167,glnD,0,182465,185137,-1,2799,0.145155256266367,2673,388,uridylyltransferase
BW25113_4414,tff,0,186199,186334,1,152,0.117647058823529,136,16,
BW25113_0176,rseP,0,193033,194385,1,452,0.0879526977087953,1353,119,inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease
BW25113_0178,skp,0,196969,197454,1,1084,0.172839506172839,486,84,periplasmic chaperone
BW25113_0183,rnhB,0,200980,201576,1,717,0.128978224455611,597,77,ribonuclease HII, degrades RNA of DNA-RNA hybrids
BW25113_0186,ldcC,0,206166,208307,1,6189,0.251167133520075,2142,538,lysine decarboxylase 2, constitutive
BW25113_0187,yaeR,0,208364,208753,1,1102,0.264102564102564,390,103,putative lyase
BW25113_0189,rof,0,210165,210419,-1,809,0.247058823529412,255,63,modulator of Rho-dependent transcription termination
BW25113_4406,yaeP,0,210412,210612,-1,432,0.199004975124378,201,40,UPF0253 family protein
BW25113_0190,yaeQ,0,210778,211323,1,1490,0.271062271062271,546,148,PDDEXK superfamily protein
BW25113_0191,arfB,0,211320,211742,1,1553,0.290780141843972,423,123,alternative stalled-ribosome rescue factor B; peptidyl-tRNA hydrolase, ribosome-attached
BW25113_0192,nlpE,0,211756,212466,1,2507,0.29676511954993,711,211,lipoprotein involved with copper homeostasis and adhesion
BW25113_0193,yaeF,0,212666,213490,-1,3747,0.317575757575758,825,262,putative lipoprotein
BW25113_0195,tsaA,0,215374,216081,-1,2835,0.275423728813559,708,195,tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase, SAM-dependent
BW25113_0196,rcsF,0,216078,216482,-1,2601,0.345679012345679,405,140,putative outer membrane protein
BW25113_0197,metQ,0,216600,217415,-1,3140,0.297794117647059,816,243,DL-methionine transporter subunit
BW25113_0198,metI,0,217455,218108,-1,3898,0.35474006116208,654,232,DL-methionine transporter subunit
BW25113_0199,metN,0,218101,219132,-1,4624,0.332364341085271,1032,343,DL-methionine transporter subunit
