locus_tag,gene_name,ncrna,start,end,strand,read_count,ins_index,gene_length,ins_count,fcn
BW25113_0014,dnaK,0,12163,14079,1,955,0.0792905581637976,1917,152,chaperone Hsp70, with co-chaperone DnaJ
BW25113_0023,rpsT,0,20815,21078,-1,11,0.0113636363636364,264,3,30S ribosomal subunit protein S20
BW25113_0025,ribF,0,21407,22348,1,100,0.0169851380042463,942,16,bifunctional riboflavin kinase/FAD synthetase
BW25113_0026,ileS,0,22391,25207,1,157,0.0149094781682641,2817,42,isoleucyl-tRNA synthetase
BW25113_0027,lspA,0,25207,25701,1,34,0.0121212121212121,495,6,prolipoprotein signal peptidase (signal peptidase II)
BW25113_0029,ispH,0,26277,27227,1,46,0.017875920084122,951,17,4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein
BW25113_0031,dapB,0,28374,29195,1,39,0.00608272506082725,822,5,dihydrodipicolinate reductase
BW25113_0048,folA,0,49823,50302,1,12,0.0104166666666667,480,5,dihydrofolate reductase
BW25113_0054,lptD,0,54755,57109,-1,189,0.0169851380042463,2355,40,LPS assembly OM complex LptDE, beta-barrel component
BW25113_0083,ftsL,0,87519,87884,1,189,0.0628415300546448,366,23,membrane bound cell division protein at septum containing leucine zipper motif
BW25113_0084,ftsI,0,87900,89666,1,258,0.0237691001697793,1767,42,transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)
BW25113_0085,murE,0,89653,91140,1,46,0.0120967741935484,1488,18,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
BW25113_0086,murF,0,91137,92495,1,220,0.0191317144959529,1359,26,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
BW25113_0087,mraY,0,92489,93571,1,84,0.0175438596491228,1083,19,phospho-N-acetylmuramoyl-pentapeptide transferase
BW25113_0088,murD,0,93574,94890,1,150,0.0167046317388003,1317,22,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
BW25113_0089,ftsW,0,94890,96134,1,248,0.0329317269076305,1245,41,lipid II flippase; integral membrane protein involved in stabilizing FstZ ring during cell division
BW25113_0090,murG,0,96131,97198,1,78,0.0187265917602996,1068,20,N-acetylglucosaminyl transferase
BW25113_0091,murC,0,97252,98727,1,104,0.0176151761517615,1476,26,UDP-N-acetylmuramate:L-alanine ligase
BW25113_0093,ftsQ,0,99642,100472,1,431,0.0505415162454874,831,42,divisome assembly protein, membrane anchored protein involved in growth of wall at septum
BW25113_0094,ftsA,0,100469,101731,1,87,0.0158353127474268,1263,20,ATP-binding cell division protein involved in recruitment of FtsK to Z ring
BW25113_0095,ftsZ,0,101792,102943,1,83,0.0173611111111111,1152,20,GTP-binding tubulin-like cell division protein
BW25113_0096,lpxC,0,103044,103961,1,62,0.0196078431372549,918,18,UDP-3-O-acyl N-acetylglucosamine deacetylase
BW25113_0098,secA,0,104766,107471,1,549,0.0306725794530673,2706,83,preprotein translocase subunit, ATPase
BW25113_0103,coaE,0,109086,109706,-1,117,0.0305958132045089,621,19,dephospho-CoA kinase
BW25113_0114,aceE,0,119504,122167,1,842,0.0773273273273273,2664,206,pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding
BW25113_0115,aceF,0,122182,124074,1,437,0.0596936080295827,1893,113,pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2
BW25113_0116,lpd,0,124399,125823,1,81,0.0175438596491228,1425,25,lipoamide dehydrogenase, E3 component is part of three enzyme complexes
BW25113_0126,can,0,138495,139157,-1,42,0.0165912518853695,663,11,carbonic anhydrase
BW25113_0154,hemL,0,170089,171369,-1,150,0.0156128024980484,1281,20,glutamate-1-semialdehyde aminotransferase (aminomutase)
BW25113_0156,erpA,0,173097,173441,1,91,0.0289855072463768,345,10,iron-sulfur cluster insertion protein
BW25113_0166,dapD,0,181610,182434,-1,136,0.0218181818181818,825,18,2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
BW25113_0168,map,0,185199,185993,-1,212,0.0339622641509434,795,27,methionine aminopeptidase
BW25113_0169,rpsB,0,186361,187086,1,40,0.012396694214876,726,9,30S ribosomal subunit protein S2
BW25113_0170,tsf,0,187344,188195,1,51,0.00821596244131455,852,7,translation elongation factor EF-Ts
BW25113_0171,pyrH,0,188342,189067,1,35,0.0179063360881543,726,13,uridylate kinase
BW25113_0172,frr,0,189359,189916,1,69,0.0376344086021505,558,21,ribosome recycling factor
BW25113_0173,dxr,0,190008,191204,1,154,0.025062656641604,1197,30,1-deoxy-D-xylulose 5-phosphate reductoisomerase
BW25113_0174,ispU,0,191390,192151,1,58,0.0118110236220472,762,9,undecaprenyl pyrophosphate synthase
BW25113_0175,cdsA,0,192164,193021,1,108,0.0198135198135198,858,17,CDP-diglyceride synthase
BW25113_0177,bamA,0,194415,196847,1,101,0.0127414714344431,2433,31,BamABCDE complex OM biogenesis outer membrane pore-forming assembly factor
BW25113_0179,lpxD,0,197458,198483,1,89,0.0194931773879142,1026,20,UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase
BW25113_0180,fabZ,0,198588,199043,1,24,0.0153508771929825,456,7,(3R)-hydroxymyristol acyl carrier protein dehydratase
BW25113_0181,lpxA,0,199047,199835,1,22,0.0101394169835234,789,8,UDP-N-acetylglucosamine acetyltransferase
BW25113_0182,lpxB,0,199835,200983,1,146,0.0234986945169713,1149,27,tetraacyldisaccharide-1-P synthase
